,Id,Review,Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity,Words_in_Numbers
0,0,For some reason everybody complains and I'm complaining now about my toilet that I just boughtFor some reason it's not ceiling from the tank to the pedestal I can't get it sealed without cracking the toilet support design for some reason I'm very unhappy with his toilet never buy American standard again,0,0,0,0,0,0,0,0,0,0,1,0,"[3024, 7105, 6037, 2597, 1473, 278, 1472, 5015, 8, 4851, 7957, 7796, 3706, 4081, 828, 7105, 6037, 4994, 1152, 3097, 7801, 7692, 7944, 7801, 5383, 3706, 3207, 3996, 6631, 8741, 1719, 7801, 7957, 7582, 2043, 3024, 7105, 6037, 8432, 8227, 8739, 3578, 7957, 4942, 1005, 257, 7314, 163]"
1,1,"I like everything about it, great choice of spray patterns, it puts out a large volume of water out of my 1"" pipes",0,0,0,0,1,1,0,0,0,0,0,1,"[3706, 4303, 2600, 8, 3315, 1252, 5083, 7231, 3996, 5908, 5204, 3, 4190, 8488, 5083, 8566, 5204, 5083, 4851, 5513]"
2,2,Excellent ceiling fan brace. Easy to install and well made,0,0,0,0,0,0,1,0,0,1,0,1,"[2623, 1152, 2757, 2407, 7944, 3878, 278, 8628, 4465]"
3,3,Work great easy to use . No issues at all with hanging fan,0,0,0,0,0,1,0,0,0,0,1,1,"[8776, 3315, 2407, 7944, 8330, 4972, 3993, 448, 213, 8739, 3451, 2757]"
4,4,"I would recommend this product because it is perfect for watering hanging baskets, the wand has a shut off vale on it to be able to shut off as you move from one plant to another.See more",0,0,0,0,0,0,0,0,0,1,0,1,"[3706, 8813, 6078, 7856, 5790, 626, 3996, 3981, 5414, 3024, 8569, 3451, 7801, 8519, 3478, 3, 6872, 5085, 8374, 5118, 3996, 7944, 605, 6, 7944, 6872, 5085, 409, 8870, 4818, 3097, 5122, 5545, 7944, 4788]"
5,5,I will never not use these. I highly recommend everyone have one of these especially if you can't get an alarm system.,0,0,0,0,0,0,0,0,0,1,0,1,"[3706, 8703, 4942, 4994, 8330, 3706, 3567, 6078, 2599, 3488, 5122, 5083, 7828, 2571, 3723, 8870, 3207, 271, 197]"
6,6,Very sturdy. You could hang a good sized fixture with this mount. Easy to install,0,0,0,0,0,0,1,0,0,1,0,1,"[8432, 8870, 1677, 3448, 3, 3265, 6939, 2905, 8739, 7856, 2407, 7944, 3878]"
7,7,Cuts pex clean and easily with one hand. Blade is easily replaceable and probably can be sharpened without much fuss. Up to 1 inch without a hitch.,0,0,0,0,0,1,0,0,0,0,1,1,"[1841, 5454, 1310, 278, 2403, 8739, 5122, 732, 3981, 2403, 6242, 278, 5776, 1059, 605, 6785, 8741, 4833, 8290, 7944, 3781, 8741, 3]"
8,8,Good product in good condition ( no rust).,0,0,0,0,0,0,0,0,0,1,0,1,"[3265, 5790, 3773, 3265, 1519, 4972]"
9,9,Yellow sprinkler made from pretty thin plastic. Although that doesn't stop it from being sturdy and seemingly tough. It hooked up to my hose with no problem or leaks which is a plusSee more,0,0,0,0,0,0,1,0,0,1,0,1,"[8861, 7250, 4465, 3097, 5743, 7842, 240, 7796, 7396, 3996, 3097, 657, 7489, 278, 6677, 3996, 3630, 8290, 7944, 4851, 3650, 8739, 4972, 5777, 5167, 4236, 8663, 3981, 3, 5601, 4788]"
10,10,There was no instruction in the package but it was still easy to installed. And works great.,0,0,0,0,0,1,1,0,0,0,0,1,"[7819, 8541, 4972, 3898, 3773, 7801, 5256, 994, 3996, 8541, 7380, 2407, 7944, 278, 8790]"
11,11,"Some of us DIYers tend to take on many projects that we should not, I am one of those that usually bites off more than I should. This one started with adding a whole house water filter to our house. I have done some basic plumbing over the years but new to PEX, my cutter was a bit old so a new one was in order. The Kobalt PEX cutter was ideal and able to cut through the pipe in a single squeeze with a clean crisp cut. My older cutter did not have replaceable blade but this Kobalt cutter does so the blade can be replaced easily. I finished installing the water filter with no problems. This is one tool every DIY plumber should have.",0,0,0,0,0,1,0,0,0,0,1,1,"[7105, 5083, 8322, 2243, 7755, 7944, 7674, 5118, 4532, 5807, 7796, 8587, 6853, 3706, 246, 5122, 5083, 7860, 7796, 8354, 724, 5085, 4788, 7786, 3706, 7856, 5122, 7329, 8739, 92, 3, 8675, 3659, 8566, 2850, 7944, 5201, 3706, 3488, 2265, 7105, 583, 5594, 5227, 7801, 8859, 994, 4943, 7944, 4851, 1842, 8541, 3, 722, 5109, 7062, 3, 4943, 5122, 8541, 3773, 7801, 4150, 5454, 1842, 8541, 3715, 278, 6, 7944, 1836, 7879, 7801, 5510, 3773, 3, 6918, 7277, 8739, 3, 1310, 1769, 4851, 5110, 1842, 2115, 4994, 3488, 6242, 732, 994, 7856, 4150, 1842, 2250, 7062, 7801, 732, 1059, 605, 6243, 3706, 2868, 3886, 7801, 8566, 2850, 8739, 4972, 7856, 3981, 5122, 7978, 2596, 2241, 5592, 6853]"
12,12,"Seem to work well, fairly sharp.A little hard to do 1 1/4 inch.Overall a decent PvP pipe cutter.",1,0,0,0,0,1,0,0,0,0,0,1,"[6675, 7944, 8776, 2743, 4349, 3464, 7944, 2245, 3, 1909, 5914, 5510]"
13,13,"This toilet looks really great, clean lines, no crevices to collect dirt. It flushes beautifully. It was a little hard to install due to valves hard to get to.",0,0,1,0,0,1,1,0,0,0,0,1,"[7856, 7957, 4395, 6032, 1310, 4972, 1759, 7944, 1404, 3996, 2991, 3996, 8541, 3, 4349, 3464, 7944, 3878, 2364, 7944, 8380, 3464, 7944, 3207]"
14,14,Cushion seems to be holding up well.  No problems.,0,0,0,0,0,0,0,0,0,1,0,1,"[1820, 6678, 7944, 605, 3603, 8290, 4972]"
15,15,This water sprinkler it really does it's job. It works great and covers a big area of my lawn. As I said it's very worth the price little but very efficient.,0,0,0,0,0,1,0,0,1,1,0,1,"[7856, 8566, 7250, 3996, 6032, 2250, 3996, 8790, 3315, 278, 1708, 3, 696, 377, 5083, 4851, 409, 3706, 6523, 8432, 8807, 7801, 5752, 4349, 994, 8432]"
16,16,They work but too stiff. It's all you can to clamp.. I'd say they were not adjusted correctly.. I have use quite a few different ones in different brand and never had this problem,0,0,1,0,0,0,0,0,0,0,0,0,"[7831, 8776, 994, 7976, 213, 8870, 1059, 7944, 6565, 7831, 8639, 4994, 115, 3706, 3488, 8330, 5955, 3, 2819, 2126, 5123, 3773, 2126, 868, 278, 4942, 3409, 7856, 5777]"
17,17,This product doesn't look anything like the description,0,0,1,0,0,0,0,0,0,0,0,0,"[7856, 5790, 4392, 318, 4303, 7801, 2035]"
18,18,"We have a septic system and wanted a toilet that would work efficiently and use less water. This toilet looks beautiful, very sleek design and works great!",0,0,1,0,0,1,0,0,0,0,0,1,"[8587, 3488, 3, 6725, 7648, 278, 8523, 3, 7957, 7796, 8813, 8776, 2436, 278, 8330, 4268, 7856, 7957, 4395, 8432, 6969, 2043, 278, 8790]"
19,19,"I recently purchased this toilet and am about to replace it as it is totally unsatisfactory.  It has very low water flow and does not always flush everything, requiring multiple flushes to clear.  I was relying on the American Standard name for quality, but will not make that mistake again. Lowes would not allow me to exchange it, as it had already been installed, so am simply out the cost of the toilet plus the cost of installation.  I will buy a better quality toilet this time.",0,0,0,0,0,1,0,0,0,1,0,0,"[3706, 6062, 5893, 7856, 7957, 278, 246, 8, 7944, 6241, 3996, 409, 3996, 3981, 7999, 3996, 3478, 8432, 4429, 8566, 2971, 278, 2250, 4994, 245, 2988, 6274, 4839, 2991, 7944, 3706, 8541, 6185, 5118, 7801, 257, 7314, 4870, 3024, 994, 8703, 4994, 4494, 7796, 4728, 4435, 8813, 4994, 221, 4583, 7944, 2635, 409, 3996, 3409, 234, 639, 7062, 246, 6915, 5204, 7801, 1665, 5083, 7801, 7957, 5599, 7801, 1665, 5083, 3706, 8703, 1005, 3, 684, 5930, 7957, 7856]"
20,20,"So strong it kept my ex-outdoor cat from breaking through. He tries to claw and bite his way through puffs of frustration and defeat. He's so upset he pooped on the floor in protest. Hopefully he'll get over it, because he's not getting out again.",0,0,0,0,0,0,0,0,0,1,0,1,"[7062, 7459, 3996, 4092, 4851, 1126, 3097, 882, 3500, 8078, 7944, 1305, 278, 723, 3578, 8583, 7879, 5867, 5083, 3106, 278, 7062, 8310, 3500, 5641, 5118, 7801, 2964, 3773, 3637, 3207, 5227, 626, 4994, 3210, 5204]"
21,21,"I use these clamps for welding all the time and they are wonderful. Even for them not being ""welding quality"" finish clamps, the splatter doesn't seem to stick to the finish very easily which usually is the case with chrome. Great value for the money!",0,0,1,0,0,0,0,0,1,0,0,1,"[3706, 8330, 7828, 1293, 3024, 8626, 213, 7801, 7918, 278, 7831, 376, 2588, 3024, 7809, 4994, 657, 2867, 7801, 7202, 6675, 7944, 7371, 7944, 7801, 2867, 8432, 2403, 8663, 8354, 3981, 7801, 1118, 8739, 3315, 8376, 3024, 7801]"
22,22,Love the ringâœ¨Clear pics/video. The ones I own have been very reliable with easy setup!,0,0,0,0,0,0,1,0,0,1,0,1,"[4422, 7801, 6405, 7801, 5123, 3706, 5248, 3488, 639, 8432, 6175, 8739, 2407]"
23,23,"The pad is comfortable and attractive, but unfortunately the Velcro tabs are too short and as a result, the pad pulls away from the chair.",0,0,1,1,0,0,0,0,0,1,1,0,"[7801, 5264, 3981, 1429, 278, 994, 8224, 7801, 8407, 7659, 376, 7976, 6843, 278, 409, 3, 7801, 5264, 5873, 504, 3097, 7801]"
24,24,"These cameras blew me way with easy of install, setup, and uses. The quality is awesome.",0,0,0,0,0,0,1,0,0,1,1,1,"[7828, 1047, 751, 4583, 8583, 8739, 2407, 5083, 278, 7801, 5930, 3981]"
25,25,Absolutely love it! It fit my four foot swing perfectly.,0,0,0,1,0,0,0,0,0,0,0,1,"[15, 4422, 3996, 2894, 4851, 3060, 3018, 7628]"
26,26,"Great product, worked great for my husbands project",0,0,0,0,0,1,0,0,0,0,0,1,"[3315, 8780, 3315, 3024, 4851, 3697, 5805]"
27,27,"Most simple and effective sprinkler for me, covers the area I need watered. I move it once after 20 minutes covers my whole garden. I didn't want some fancy high price sprinkler that essentially dose the same thing waters my garden. Very satisfied. When I was a kid these are what everyone used, still does a great job for a great price.",0,0,0,0,0,1,0,0,1,0,0,1,"[4801, 6907, 278, 2430, 7250, 3024, 1708, 7801, 377, 3706, 4906, 3706, 4818, 3996, 5121, 159, 4698, 1708, 4851, 8675, 3706, 8522, 7105, 2758, 3562, 5752, 7250, 7796, 2573, 2277, 7801, 6531, 7844, 8575, 4851, 8432, 8655, 3706, 8541, 3, 4105, 7828, 376, 8646, 2599, 7380, 2250, 3, 3315, 4049, 3024, 3, 3315]"
28,28,This self-contained purchase was easy to install and is working well.  Installation took about 20 minutes and only required standard tools.  I would buy this product again without a doubt or reservation.,0,0,0,0,0,1,1,0,0,0,0,1,"[7856, 5892, 8541, 2407, 7944, 3878, 278, 3981, 8783, 3879, 7977, 8, 4698, 278, 5130, 6270, 7314, 3706, 8813, 1005, 7856, 5790, 163, 8741, 3, 2283, 5167]"
29,29,Works great with no problems,0,0,0,0,0,1,0,0,0,0,0,1,"[8790, 3315, 8739, 4972, 5779]"
